Generated graph edges:
Edge 0 -> 2
Edge 0 -> 3
Edge 0 -> 7
Edge 0 -> 11
Edge 0 -> 16
Edge 0 -> 17
Edge 0 -> 25
Edge 0 -> 28
Edge 0 -> 29
Edge 0 -> 30
Edge 0 -> 32
Edge 0 -> 33
Edge 0 -> 34
Edge 0 -> 37
Edge 0 -> 42
Edge 0 -> 43
Edge 0 -> 52
Edge 0 -> 59
Edge 1 -> 5
Edge 1 -> 6
Edge 1 -> 11
Edge 1 -> 13
Edge 1 -> 18
Edge 1 -> 20
Edge 1 -> 23
Edge 1 -> 29
Edge 1 -> 35
Edge 1 -> 36
Edge 1 -> 45
Edge 1 -> 53
Edge 1 -> 54
Edge 1 -> 57
Edge 1 -> 58
Edge 1 -> 59
Edge 2 -> 3
Edge 2 -> 8
Edge 2 -> 11
Edge 2 -> 13
Edge 2 -> 16
Edge 2 -> 26
Edge 2 -> 27
Edge 2 -> 29
Edge 2 -> 30
Edge 2 -> 31
Edge 2 -> 32
Edge 2 -> 36
Edge 2 -> 41
Edge 2 -> 43
Edge 2 -> 45
Edge 2 -> 46
Edge 2 -> 48
Edge 2 -> 50
Edge 2 -> 52
Edge 3 -> 6
Edge 3 -> 18
Edge 3 -> 19
Edge 3 -> 21
Edge 3 -> 23
Edge 3 -> 25
Edge 3 -> 28
Edge 3 -> 38
Edge 3 -> 39
Edge 3 -> 41
Edge 3 -> 42
Edge 3 -> 43
Edge 3 -> 54
Edge 3 -> 57
Edge 4 -> 5
Edge 4 -> 7
Edge 4 -> 8
Edge 4 -> 12
Edge 4 -> 13
Edge 4 -> 14
Edge 4 -> 16
Edge 4 -> 17
Edge 4 -> 21
Edge 4 -> 25
Edge 4 -> 30
Edge 4 -> 33
Edge 4 -> 35
Edge 4 -> 42
Edge 4 -> 43
Edge 4 -> 45
Edge 4 -> 48
Edge 4 -> 51
Edge 4 -> 54
Edge 4 -> 59
Edge 5 -> 10
Edge 5 -> 12
Edge 5 -> 13
Edge 5 -> 16
Edge 5 -> 17
Edge 5 -> 30
Edge 5 -> 36
Edge 5 -> 43
Edge 5 -> 47
Edge 5 -> 48
Edge 5 -> 49
Edge 5 -> 51
Edge 5 -> 54
Edge 5 -> 59
Edge 6 -> 7
Edge 6 -> 8
Edge 6 -> 9
Edge 6 -> 11
Edge 6 -> 14
Edge 6 -> 17
Edge 6 -> 20
Edge 6 -> 21
Edge 6 -> 34
Edge 6 -> 35
Edge 6 -> 37
Edge 6 -> 41
Edge 6 -> 51
Edge 6 -> 54
Edge 6 -> 56
Edge 6 -> 57
Edge 6 -> 59
Edge 7 -> 9
Edge 7 -> 13
Edge 7 -> 14
Edge 7 -> 16
Edge 7 -> 30
Edge 7 -> 35
Edge 7 -> 39
Edge 7 -> 40
Edge 7 -> 43
Edge 7 -> 46
Edge 7 -> 47
Edge 7 -> 48
Edge 7 -> 49
Edge 8 -> 9
Edge 8 -> 10
Edge 8 -> 17
Edge 8 -> 20
Edge 8 -> 24
Edge 8 -> 27
Edge 8 -> 30
Edge 8 -> 32
Edge 8 -> 33
Edge 8 -> 34
Edge 8 -> 37
Edge 8 -> 40
Edge 8 -> 42
Edge 8 -> 43
Edge 8 -> 45
Edge 8 -> 49
Edge 8 -> 52
Edge 8 -> 57
Edge 8 -> 58
Edge 9 -> 10
Edge 9 -> 11
Edge 9 -> 16
Edge 9 -> 20
Edge 9 -> 22
Edge 9 -> 23
Edge 9 -> 24
Edge 9 -> 31
Edge 9 -> 34
Edge 9 -> 35
Edge 9 -> 38
Edge 9 -> 40
Edge 9 -> 41
Edge 9 -> 44
Edge 9 -> 48
Edge 9 -> 49
Edge 9 -> 52
Edge 10 -> 16
Edge 10 -> 19
Edge 10 -> 22
Edge 10 -> 23
Edge 10 -> 25
Edge 10 -> 28
Edge 10 -> 30
Edge 10 -> 32
Edge 10 -> 41
Edge 10 -> 43
Edge 10 -> 46
Edge 10 -> 50
Edge 10 -> 51
Edge 10 -> 52
Edge 10 -> 57
Edge 11 -> 16
Edge 11 -> 17
Edge 11 -> 18
Edge 11 -> 20
Edge 11 -> 25
Edge 11 -> 29
Edge 11 -> 33
Edge 11 -> 37
Edge 11 -> 42
Edge 11 -> 47
Edge 11 -> 48
Edge 12 -> 13
Edge 12 -> 18
Edge 12 -> 19
Edge 12 -> 21
Edge 12 -> 27
Edge 12 -> 31
Edge 12 -> 32
Edge 12 -> 33
Edge 12 -> 35
Edge 12 -> 44
Edge 12 -> 46
Edge 12 -> 49
Edge 12 -> 53
Edge 12 -> 58
Edge 12 -> 59
Edge 13 -> 19
Edge 13 -> 32
Edge 13 -> 33
Edge 13 -> 43
Edge 13 -> 45
Edge 13 -> 49
Edge 13 -> 50
Edge 13 -> 55
Edge 14 -> 17
Edge 14 -> 18
Edge 14 -> 19
Edge 14 -> 20
Edge 14 -> 27
Edge 14 -> 28
Edge 14 -> 34
Edge 14 -> 35
Edge 14 -> 38
Edge 14 -> 43
Edge 14 -> 46
Edge 15 -> 20
Edge 15 -> 25
Edge 15 -> 28
Edge 15 -> 29
Edge 15 -> 31
Edge 15 -> 37
Edge 15 -> 38
Edge 15 -> 40
Edge 15 -> 41
Edge 15 -> 47
Edge 15 -> 50
Edge 15 -> 53
Edge 16 -> 26
Edge 16 -> 31
Edge 16 -> 33
Edge 16 -> 38
Edge 16 -> 39
Edge 16 -> 42
Edge 16 -> 44
Edge 16 -> 47
Edge 16 -> 48
Edge 16 -> 50
Edge 16 -> 51
Edge 16 -> 57
Edge 17 -> 18
Edge 17 -> 22
Edge 17 -> 28
Edge 17 -> 29
Edge 17 -> 36
Edge 17 -> 39
Edge 17 -> 40
Edge 17 -> 44
Edge 17 -> 46
Edge 17 -> 48
Edge 17 -> 49
Edge 17 -> 55
Edge 17 -> 56
Edge 18 -> 20
Edge 18 -> 31
Edge 18 -> 33
Edge 18 -> 36
Edge 18 -> 37
Edge 18 -> 38
Edge 18 -> 39
Edge 18 -> 47
Edge 18 -> 48
Edge 18 -> 58
